Strain	Original_name	Group	Version	Status	Genome number	ShortTaxName	Locus tag	File name	Locus tag (Strain)	File name (Strain)	Locus tag (Strain no underscore)	Taxonomy_rp15	Taxonomy_GtoTree	Accession	Alternative Names	arCOG Taxonomy	CheckM Completeness v1,2,1	CheckM Contamination v1,2,1	Genome_quality	Genome_quality_score	GTDB-Tk v1.5.1 Classsification	GTDB-Tk v1.3.0 Classification		OriginLab	Date_added	Complete_genome	Notes
12F4_17	12F4_17	00_published	v01		00259	Loki	Loki_00259	Loki_00259_GCA_019058215	Loki_12F4_17	Loki_12F4_17_p	Loki__12F4_17_	Loki	Loki	GCA_019058215_1_ASM1905821v1		Lokiarchaeota	90,81	6,22	medium_quality	59,71	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		published	2022/01/20		
12F4_9	12F4_9	00_published	v01		00012	HeGe	HeGe_00012	HeGe_00012_GCA_019058275	HeGe_12F4_9	HeGe_12F4_9_p	HeGe__12F4_9_	HeGerd	HeGerd	GCA_019058275_1_ASM1905827v1		Gerdarchaeia	95,33	7,01	medium_quality	60,28	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/01/20		
12R2_1	12R2_1	00_published	v01		00014	HeGe	HeGe_00014	HeGe_00014_GCA_019058195	HeGe_12R2_1	HeGe_12R2_1_p	HeGe__12R2_1_	HeGerd	HeGerd	GCA_019058195_1_ASM1905819v1		Gerdarchaeia	94,39	7,94	medium_quality	54,69	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/01/20		
12R2_15_1	12R2_15_1	00_published	v01		00013	HeGe	HeGe_00013	HeGe_00013_GCA_019058165	HeGe_12R2_15_1	HeGe_12R2_15_1_p	HeGe__12R2_15_1_	HeGerd	HeGerd	GCA_019058165_1_ASM1905816v1		Gerdarchaeia	91,3	6,54	medium_quality	58,6	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/01/20		
12R2_15_2	12R2_15_2	00_published	v01		00464	Thor	Thor_00464	Thor_00464_GCA_019058235	Thor_12R2_15_2	Thor_12R2_15_2_p	Thor__12R2_15_2_	Thor	Thor	GCA_019058235_1_ASM1905823v1		Thorarchaeota	56,64	2,34	medium_quality	44,94	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/01/20		
12R2_37	12R2_37	00_published	v01		00260	Loki	Loki_00260	Loki_00260_GCA_019058155	Loki_12R2_37	Loki_12R2_37_p	Loki__12R2_37_	Loki	Loki	GCA_019058155_1_ASM1905815v1		Lokiarchaeota	54,37	3,27	medium_quality	38,02	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
18H4_11	18H4_11	00_published	v01		00261	Loki	Loki_00261	Loki_00261_GCA_019057835	Loki_18H4_11	Loki_18H4_11_p	Loki__18H4_11_		Loki	GCA_019057835_1_ASM1905783v1		Lokiarchaeota	74,45	5,14	medium_quality	48,75	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__		published	2022/01/20		
18H4_34	18H4_34	00_published	v01		00052	HeHe	HeHe_00052	HeHe_00052_GCA_019057815	HeHe_18H4_34	HeHe_18H4_34_p	HeHe__18H4_34_	HeHeimdall	HeHeimdall	GCA_019057815_1_ASM1905781v1		Heimdallarchaeia	95,33	4,21	high_quality	74,28	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/01/20		
2H5_5	2H5_5	00_published	v01		00262	Loki	Loki_00262	Loki_00262_GCA_019058095	Loki_2H5_5	Loki_2H5_5_p	Loki__2H5_5_	Loki	Loki	GCA_019058095_1_ASM1905809v1		Lokiarchaeota	91,28	4,21	high_quality	70,23	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
2R3_1	2R3_1	00_published	v01		00263	Loki	Loki_00263	Loki_00263_GCA_019058075	Loki_2R3_1	Loki_2R3_1_p	Loki__2R3_1_	Loki	Loki	GCA_019058075_1_ASM1905807v1		Lokiarchaeota	80,92	4,21	medium_quality	59,87	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
