accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation,gtdb_type_designation_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,checkm_qscore
GB_GCA_014729555.1,0,83.18,0.0,149,k__Archaea (UID2),107,0.0,958813,92.2085415803145,58,413946,39.8089689574556,1039831,GB_GCA_014729555.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp014729555,not type material,none,f,13,13,61564,61564,61564,1,383,WJJT01000036.1,23590,1,92,WJJT01000018.1,371,285,2.64e-75,80.863,KP308706.137313.140204,Archaea;Nanoarchaeota;Woesearchaeia;uncultured archaeon,17928,17928,f,f,t,23885,23885,Contig,ASM1472955v1,na,PRJNA561032,SAMN13151212,58,23885,none,2020-09-24,GCA_014729555.1,derived from metagenome,full,Bin_031,none,none,0,0,Candidatus Woesearchaeota archaeon,none,na,2,none,none,none,none,none,2020/09/24,0,2026803,1,Bin_031,University of New South Wales,2026803,d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon,0,1039831,11,32,none,1039831,0,WJJT00000000.1,1269,58,51245,1,none,none,none,none,none,none,280,WJJT01000054.1,278,248,2.76e-64,83.094,KP308736.1.932,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;uncultured archaeon,0,12,14,0,83.18
GB_GCA_019056805.1,0,95.33,4.67,149,k__Archaea (UID2),107,0.0,1665955,86.6550707329417,27,681604,35.4782561623329,1922513,GB_GCA_019056805.1,t,d__Archaea;p__Asgardarchaeota;c__Baldrarchaeia;o__Baldrarchaeales;f__DXJG01;g__DXJG01;s__DXJG01 sp019056805,not type material,none,f,5,3,389100,612202,193042,1,349,DXJG01000001.1,none,0,none,none,349,645,0,100,AQXV01000050.51.3016,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;Methanothermococcus thermolithotrophicus DSM 2095,71155,106806,f,f,t,116146,253646,Scaffold,ASM1905680v1,na,PRJNA678817,SAMN19820862,27,116146,none,2021-06-29,GCA_019056805.1,derived from metagenome,full,MAG_95,none,none,0,none,Candidatus Baldrarchaeota archaeon,none,na,none,18,3,253646,108296,42334,2021/06/29,9,2799005,none,MAG_95,The University of Queensland,2799005,d__Archaea;p__Candidatus Baldrarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__Asgard group;p__Candidatus Baldrarchaeota;x__unclassified Candidatus Baldrarchaeota;s__Candidatus Baldrarchaeota archaeon,1325,1922513,none,none,none,1921188,0,DXJG00000000.1,1916,18,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1325,15,32,0,71.97999999999999
GB_GCA_002762785.1,0,85.51,0.0,149,k__Archaea (UID2),107,0.0,1079871,91.6287168156235,8,528094,44.8138477296237,1178529,GB_GCA_002762785.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__PCXY01;s__PCXY01 sp002762785,not type material,none,f,2,2,559389,559389,208656,1,305,PCXY01000003.1,559389,1,103,PCXY01000005.1,302,311,3.4e-83,85.762,LSSJ01000013.7564.9834,Archaea;Nanoarchaeota;Woesearchaeia;Euryarchaeota archaeon SM23-78,147302,196421,f,f,t,256322,256322,Scaffold,ASM276278v1,na,PRJNA362739,SAMN06659469,8,256322,none,2017-11-13,GCA_002762785.1,derived from metagenome,full,CG10_big_fil_rev_8_21_14_0_10_45_16,none,none,0,0,Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_16,1265,na,2,6,2,256322,208656,55097,2017/11/13,2,1974465,1,CG10_big_fil_rev_8_21_14_0_10_45_16,None,1974465,d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_16,112,1178529,11,21,none,1178417,0,PCXY00000000.1,1300,6,50203,1,none,none,none,none,none,none,479,PCXY01000002.1,476,614,4.21e-174,89.916,MGJB01000004.1453.3071,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_41_26,112,14,19,0,85.51
RS_GCF_000710615.1,0,99.57,0.28,359,f__Halobacteriaceae (UID84),235,50.0,3373369,85.907973160324,13,2267915,57.7559054316015,3926724,RS_GCF_000710615.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Haladaptatus;s__Haladaptatus cibarius,type strain of species,LPSN,f,2,2,1949123,1949123,3396,1,2903,NZ_JDTH01000003.1,3396,2,114,NZ_JDTH01000003.1,2894,5345,0,100,JDTH01000003.346.3250,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus cibarius D43,302055,302055,t,f,f,985075,985075,Contig,HAPD43.1,na,PRJNA224116,SAMN02629026,13,985075,South Korea,2014-06-20,GCA_000710615.1,none,full,none,Traditional salt-fermented seafood in Korea,none,0,0,Haladaptatus cibarius D43,3942,representative genome,6,none,none,none,none,none,2014/06/20,0,453847,3,D43,Korea Basic Science Institute,1455608,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__Haladaptatus cibarius,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__Haladaptatus cibarius;x__Haladaptatus cibarius D43,0,3926724,11,47,assembly from type material,3926724,0,JDTH00000000.1,4125,13,1412,3,1404,2462,0,98.362,355788,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__,1405,NZ_JDTH01000004.1,1405,2595,0,100,AB663345.1.1471,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus cibarius,0,20,47,0,98.16999999999999
GB_GCA_015661855.1,0,88.53,4.32,217,c__Thermoprotei (UID147),168,62.5,1038937,88.9767481694001,167,426308,36.5099130732668,1167650,GB_GCA_015661855.1,t,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__SZUA-1508;g__SZUA-1508;s__SZUA-1508 sp015661855,not type material,none,f,42,42,41155,41155,none,0,none,none,none,0,none,none,none,none,none,none,none,none,6991,6991,f,f,t,8626,8626,Contig,ASM1566185v1,na,PRJNA488180,SAMN09926526,167,8626,none,2020-11-23,GCA_015661855.1,derived from metagenome,full,SZUA-1508,none,none,0,0,Desulfurococcales archaeon,none,na,0,none,none,none,none,none,2020/11/23,0,2480821,0,SZUA-1508,The University of Hong Kong,2480821,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__;g__;s__,d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;x__unclassified Desulfurococcales;s__Desulfurococcales archaeon,0,1167650,11,32,none,1167650,0,DQVH00000000.1,1349,167,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,16,32,0,66.93
RS_GCF_013340765.1,0,98.06,0.0,145,k__Archaea (UID2),103,0.0,1429829,89.7062052748538,1,989314,62.0686842729352,1593902,RS_GCF_013340765.1,t,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales;f__Conexivisphaeraceae;g__Conexivisphaera;s__Conexivisphaera calida,type strain of species,LPSN,t,1,1,1593902,1593902,1593902,1,3057,NZ_AP018732.1,none,0,none,none,3057,5524,0,99.28,HE574568.8745.11856,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;uncultured archaeon,1593902,1593902,f,f,t,1593902,1593902,Complete Genome,NAS2_1.0,na,PRJNA224116,SAMD00056253,none,none,none,2019-05-09,GCA_013340765.1,none,full,none,none,none,1,0,Conexivisphaera calida,none,representative genome,3,none,none,none,none,none,2019/05/09,0,1874277,1,NAS-02,Japan Collection of Microorganisms,1874277,d__Archaea;p__Thaumarchaeota;c__Conexivisphaeria;o__Conexivisphaerales;f__Conexivisphaeraceae;g__Conexivisphaera;s__Conexivisphaera calida,d__Archaea;x__TACK group;p__Thaumarchaeota;c__Conexivisphaeria;o__Conexivisphaerales;f__Conexivisphaeraceae;g__Conexivisphaera;s__Conexivisphaera calida,0,1593902,11,46,assembly from type material,1593902,0,none,1614,1,1593902,1,none,none,none,none,none,none,1499,NZ_AP018732.1,1463,2675,0,99.658,HE574568.7129.8591,Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG);uncultured archaeon,0,18,44,0,98.06
GB_GCA_016839805.1,0,94.86,0.0,149,k__Archaea (UID2),107,0.0,2050778,88.7991804130497,50,1012490,43.8410604055674,2309456,GB_GCA_016839805.1,t,d__Archaea;p__Asgardarchaeota;c__Hermodarchaeia;o__Hermodarchaeles;f__Hermodarchaeaceae;g__Hermodarchaeum;s__Hermodarchaeum sp016839805,not type material,none,f,9,9,270724,270724,none,0,none,none,270724,1,101,JAEOTO010000032.1,none,none,none,none,none,none,46189,46189,f,f,t,73274,73274,Contig,ASM1683980v1,na,PRJNA680430,SAMN16492233,50,73274,none,2021-02-09,GCA_016839805.1,derived from metagenome,full,YT2_032,none,none,0,none,Candidatus Hermodarchaeota archaeon,none,na,none,none,none,none,none,none,2021/02/09,0,2799008,none,YT2_032,Shenzhen Univeristy,2799008,d__Archaea;p__Candidatus Hermodarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__Asgard group;p__Candidatus Hermodarchaeota;x__unclassified Candidatus Hermodarchaeota;s__Candidatus Hermodarchaeota archaeon,0,2309456,none,none,none,2309456,0,JAEOTO000000000.1,2315,50,13409,1,none,none,none,none,none,none,341,JAEOTO010000026.1,339,525,1.41e-147,94.69,JQ258219.1.1034,Archaea;Asgardarchaeota;Odinarchaeia;uncultured archaeon,0,14,29,0,94.86
GB_GCA_003023195.1,3,88.72,3.2,395,f__Halobacteriaceae (UID85),250,0.0,2795141,84.9163380818261,60,2284515,69.4241766550317,3291641,GB_GCA_003023195.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__SW-7-71-33 sp003023195,not type material,none,f,15,11,190511,306160,none,0,none,none,none,0,none,none,none,none,none,none,none,none,54844,71557,f,f,t,74245,102397,Scaffold,ASM302319v1,na,PRJNA351262,SAMN06020788,60,74245,none,2018-03-27,GCA_003023195.1,derived from metagenome,full,QS_8_69_26,none,none,0,0,Halobacteriales archaeon QS_8_69_26,3060,na,1,46,11,102397,55846,42044,2018/03/27,14,1919187,1,QS_8_69_26,None,1919187,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;x__unclassified Halobacteriales;s__Halobacteriales archaeon QS_8_69_26,976,3291641,11,38,none,3290665,0,PXRX00000000.1,3140,46,24632,1,none,none,none,none,none,none,318,PXRX01000041.1,321,322,1.85e-86,85.047,KC465616.1.1405,Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;uncultured euryarchaeote,976,17,38,0,72.72
GB_GCA_001914405.1,1,97.71,0.65,228,p__Euryarchaeota (UID49),153,0.0,1577750,73.6814969894611,4,757603,35.380351280291,2141311,GB_GCA_001914405.1,t,d__Archaea;p__Halobacteriota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanohalarchaeaceae;g__Methanohalarchaeum;s__Methanohalarchaeum thermophilum,type strain of species,LPSN,f,1,1,1691710,1691710,1691710,1,2936,MSDW01000001.1,1691710,1,101,MSDW01000001.1,2929,5409,0,100,MSDW01000001.524748.527676,Archaea;Euryarchaeota archaeon HMET1,535327,535327,t,f,f,1691710,1691710,Contig,ASM191440v1,na,PRJNA357090,SAMN05770050,4,1691710,Russia: Altai region,2016-12-23,GCA_001914405.1,derived from metagenome,full,HMET1,enrichment culture inoculated with hypersaline salt lake sediment,51.42 N 79.42 E,0,0,Candidatus Methanohalarchaeum thermophilum,2167,na,3,none,none,none,none,none,2016/12/23,0,1903181,1,HMET1,National Center for Biotechnology Information,1903181,d__Archaea;p__Euryarchaeota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Candidatus Methanohalarchaeum;s__Candidatus Methanohalarchaeum thermophilum,d__Archaea;p__Euryarchaeota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Candidatus Methanohalarchaeum;s__Candidatus Methanohalarchaeum thermophilum,0,2141311,11,37,none,2141311,0,MSDW00000000.1,2076,4,1691710,1,none,none,none,none,none,none,1477,MSDW01000001.1,1477,2728,0,100,KY449328.1.1497,Archaea;Halobacterota;Methanonatronarchaeia;Methanonatronaechaeales;Methanonatronarchaeaceae;archaeon,0,19,43,0,94.46
GB_GCA_018609935.1,0,91.89,5.46,234,p__Euryarchaeota (UID54),153,35.29,1821442,80.6125063786151,175,734477,32.5061307730063,2259503,GB_GCA_018609935.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__JAHENH01;f__JAHENH01;g__JAHENH01;s__JAHENH01 sp018609935,not type material,none,f,31,31,79448,79448,16681,1,2904,JAHENH010000158.1,16681,1,112,JAHENH010000158.1,2946,1105,0,74.202,BDJH01000002.1672749.1675648,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Natronomonas;Natronomonas sp. CBA1134,12911,12911,f,f,t,19775,19775,Contig,ASM1860993v1,na,PRJNA522308,SAMN19270115,175,19775,none,2021-06-01,GCA_018609935.1,derived from metagenome,full,BinSanityLC-kmean-bin_57-bin_0-refined_5,none,none,0,none,Halobacteriales archaeon,none,na,none,none,none,none,none,none,2021/06/01,0,1904752,none,BinSanityLC-kmean-bin_57-bin_0-refined_5,University of Utah,1904752,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;x__unclassified Halobacteriales;s__Halobacteriales archaeon,0,2259503,none,none,none,2259503,0,JAHENH000000000.1,2542,175,16681,1,none,none,none,none,none,none,1468,JAHENH010000158.1,1457,1218,0,82.224,AB012049.1.1442,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Salinarchaeum;uncultured haloarchaeon MSP1,0,20,48,0,64.59
